feature,perm_importance_mean,perm_importance_std,perm_importance_norm,top_interaction_partners
scs,0.13313763320492117,0.008917511599380255,1.0,"scs_t-1, scs_t-2, months_since_calving, age, ec"
scs_t-1,0.07283552655723485,0.005901416590477719,0.5470694108338906,"scs, scs_t-2, age, ec_t-2, ec"
scs_t-2,0.06721424252317983,0.0060511496765839785,0.504847809782872,"scs, scs_t-1, age, month_sin, ec_t-2"
months_since_calving,0.03104811288134256,0.006556408973592412,0.23320313072979376,"month_sin, month_cos, milk, milk_t-1, age"
age,0.017500322786244457,0.0046612934775843795,0.13144534993579557,"ec, ec_t-2, ec_t-1, months_since_calving, scs_t-2"
milk,0.015929883016774556,0.005954784733520521,0.1196497386449389,"months_since_calving, milk_t-2, milk_t-1, ec, ec_t-2"
month_sin,0.010704953311980948,0.004758479094471111,0.08040516459763279,"months_since_calving, month_cos, scs_t-2, protein_t-1, ec"
month_cos,0.010196065907721985,0.005026759105269136,0.07658289893157803,"months_since_calving, month_sin, scs, scs_t-1, ec"
milk_t-2,0.009868312497846855,0.005148270367434244,0.07412113510128174,"milk, ec_t-2, milk_t-1, ec, ec_t-1"
milk_t-1,0.007477961555372253,0.00528733930935008,0.056167151055347475,"milk, months_since_calving, ec, milk_t-2, fat"
ec_t-2,0.005148499587924437,0.0049004303028442045,0.038670505581243374,"age, ec_t-1, ec, milk_t-2, milk"
ec,0.0050458534079357385,0.00452649170089891,0.03789952762769429,"age, ec_t-1, ec_t-2, lactose, milk_t-1"
ec_t-1,0.0030298255466603544,0.003935556473067141,0.022757093345627862,"age, ec, ec_t-2, milk_t-2, milk"
protein_t-1,0.0025187009175801013,0.004713656938656685,0.01891802382954636,"months_since_calving, ec, month_sin, milk_t-1, protein"
protein,0.0024966626489979944,0.0030197634543391457,0.018752493858405998,"protein_t-2, milk, milk_t-1, protein_t-1, scs"
lactose,0.002412082783933193,0.003070346969139905,0.018117212435499682,"ec, protein_t-2, scs, scs_t-1, ec_t-2"
lactose_t-2,0.0019432214364963655,0.0026136982483323215,0.014595583455396277,"ec_t-2, age, lactose_t-1, ec, fat_t-2"
fat_t-2,0.001458731891943827,0.00251319268570918,0.010956570706785764,"ec, scs_t-2, scs, scs_t-1, milk_t-2"
fat,0.0011794059381541459,0.0030292028243373154,0.008858546676572222,"milk_t-1, months_since_calving, milk_t-2, scs, fat_t-2"
protein_t-2,0.0011425532518162319,0.0037085856619857352,0.008581745253482542,"protein, lactose, months_since_calving, ec, milk_t-1"
lactose_t-1,0.0007257521243307051,0.0029616362222446447,0.005451141851182308,"protein_t-2, lactose_t-2, scs, ec_t-2, milk"
fat_t-1,-1.1502898337972393e-05,0.0026326896738246156,-8.639854908842717e-05,"months_since_calving, lactose, milk, month_sin, scs"
