repeat,fold,n_train_rows,n_valid_rows,n_train_ids,n_valid_ids,train_pos,train_neg,valid_pos,valid_neg,train_pos_rate,valid_pos_rate,id_overlap_count
1,1,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
1,2,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
1,3,16271,4067,15146,3786,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
1,4,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
1,5,16271,4067,15147,3785,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
2,1,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
2,2,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
2,3,16271,4067,15146,3786,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
2,4,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
2,5,16271,4067,15147,3785,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
3,1,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
3,2,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
3,3,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
3,4,16271,4067,15147,3785,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
3,5,16271,4067,15146,3786,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
4,1,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
4,2,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
4,3,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
4,4,16271,4067,15147,3785,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
4,5,16271,4067,15146,3786,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
5,1,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
5,2,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
5,3,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
5,4,16271,4067,15146,3786,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
5,5,16271,4067,15147,3785,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
