feature,mean_abs_shap,std_abs_shap,mean_shap,std_shap,spearman_feature_vs_shap
scs,0.7499008582857167,1.3622480162429815,0.26319534519140936,1.5326169613138962,0.971875403283794
scs_t-1,0.41176113055179964,1.0106707360679583,0.25090308742249634,1.0621232120847528,0.9281315998021792
scs_t-2,0.39307546065267984,1.0065529163322768,0.22060828359911547,1.0578488275750526,0.9525922797312723
months_since_calving,0.1494639345105731,0.1063637557204421,-0.0025883734580307927,0.1834330185642709,0.43823487995910904
age,0.11835662358988332,0.08097166399440812,-0.004899844452228391,0.14332377002109126,-0.9518957457399124
milk_t-2,0.07934606251058893,0.08985484901791128,-0.005173192512658115,0.11976491733931414,0.9087879540716398
milk,0.0790236226077835,0.07844600722027784,0.010271780646003795,0.11087652791235326,-0.8189934577019021
milk_t-1,0.0786720050719298,0.0577483728946124,-0.005394352224044742,0.09744499562148848,0.961775918044039
ec_t-2,0.07581847813474392,0.041589283729714786,0.0027447741146504998,0.08643462264198017,0.33550925378710034
ec,0.06564190751696346,0.05669113948970893,0.0022959099002302003,0.08670550186156933,0.06045968541312238
month_sin,0.05347537663830872,0.04791952008471055,-0.0018761203342456542,0.07178182244556358,0.6407984364402313
month_cos,0.05207781068721983,0.059625932989629905,0.0029558632539196704,0.0791133434430586,0.42015315845546886
protein_t-1,0.040424300660669536,0.037031469152911826,0.0026075183583884696,0.054761320326143545,-0.8713034263098239
ec_t-1,0.03908994815196898,0.03269722047119224,-0.0006061948591798906,0.050959715345679536,-0.11930305507640396
lactose,0.036065119171414514,0.03433687921207556,-0.0009701748865417458,0.04978850104605133,0.9260256631613961
protein,0.02754228314690207,0.03807659011365319,0.00014390875949225367,0.04699459586837404,-0.43217636441259544
lactose_t-1,0.026787612304721865,0.029371135339342824,0.00020501231560458925,0.039752679103051504,0.682239703764841
fat,0.024372355385552047,0.022792894100610188,-0.003011967230535384,0.033234171155417824,-0.04279619969793141
protein_t-2,0.024327842047239406,0.022522001186620132,-5.513505412679165e-05,0.033153212246191666,-0.6028062144718758
lactose_t-2,0.024011032941464346,0.035747037772219145,-0.002766583474407606,0.04297461234284109,-0.8001250892478855
fat_t-2,0.0229465938089103,0.03402175065624201,0.002497287842595207,0.04096183349024658,0.5852741617991366
fat_t-1,0.01566923466098345,0.02433324864914116,0.00034133374087655166,0.028940570316423084,0.08831171305348495
