feature_1,feature_2,mean_abs_interaction
scs,scs_t-1,0.06861479083306622
scs,scs_t-2,0.06233771031845099
scs_t-1,scs_t-2,0.037648444014549025
months_since_calving,month_sin,0.024623030388492045
months_since_calving,month_cos,0.01873194616341352
milk,milk_t-2,0.01683903522324108
age,ec_t-2,0.012971643363092153
ec,age,0.012291672654927243
months_since_calving,milk_t-1,0.010758781688511954
milk,months_since_calving,0.010665118974505458
milk,milk_t-1,0.009559199508735038
ec,ec_t-1,0.008018967497491394
age,ec_t-1,0.007971636990626576
age,months_since_calving,0.007567395629189559
scs,ec,0.007478261168132303
age,scs_t-2,0.007159261472360959
milk,ec_t-2,0.0064233915555902054
scs_t-2,milk_t-2,0.005971321291170898
scs,months_since_calving,0.005943112247160752
age,lactose_t-2,0.005868520220267237
ec,ec_t-2,0.005778726558957715
scs,age,0.005539948282763362
age,milk_t-2,0.005453509532514726
milk_t-2,ec_t-2,0.005450855201928061
ec,milk_t-1,0.00540663819979236
age,scs_t-1,0.005319430289397133
months_since_calving,protein_t-1,0.00523671003516356
ec_t-1,ec_t-2,0.005017041719987537
milk_t-1,milk_t-2,0.004874937068660074
ec,protein_t-1,0.00482266437559374
age,milk_t-1,0.004795250607853813
protein_t-2,lactose_t-1,0.004692972494296555
month_sin,scs_t-2,0.004675510275358102
milk,ec,0.00462109398426619
fat,milk_t-1,0.004515879468801723
month_sin,protein_t-1,0.004515174534701509
milk_t-1,protein_t-1,0.0045056173538687285
scs,milk_t-2,0.0044900408056477315
lactose_t-1,lactose_t-2,0.004415263768369914
milk,age,0.004340380018309224
scs_t-2,ec_t-2,0.004246051479817834
month_sin,month_cos,0.004187941270270676
months_since_calving,scs_t-1,0.004177398227143567
lactose,age,0.004172822083282518
scs_t-1,milk_t-1,0.004089269817617605
scs,protein,0.004081919546689278
milk_t-2,ec_t-1,0.004022920949304534
lactose,ec,0.004004724830410851
fat,fat_t-2,0.003946521166768798
scs_t-1,milk_t-2,0.003887598399820854
